SF_ID_ENCR,ES_ECID,ES_HQECID,ES_MatchScore,ES_Tier,ES_WebsiteStatus,ES_InactiveFlag
72D17953C813BC33E498AE7C7259C837,126047165,126047165,2,1,,
292C7AB007AB2F0091462A4AAAC9C47C,136115037,136115037,4,2,VALID,
273CA9D699F0863DB7DCAAB9169DA1DB,142878456,142878456,2,2,,
3E5F1F56D58C8BB3D4A86CECFC6DB192,120547691,120547691,2,2,,
6CAE895BD9665A1EBF0B45A63BA8D787,185979040,185979040,2,2,,
21BEFAAB453C60CA84F2DD5984D9A5F6,155891084,155891084,1,3,INVALID,1
E41E7615B6B09FAB5340840EB0FA08DD,205603044,205603044,5,2,,
AA317E5EFD24ED10EDE0C3DB7670AFA1,205926427,205926427,1,2,,
D614362A76607A4BEDD465B608641A0B,199479850,199479850,5,2,,
9630D837A78951B14A290FEE8A52C43A,197815026,197815026,3,1,,
A01ECCAE4018A1572655DC5D9CF144A7,111206982,111206982,1,1,,
E40807D75CB87F8314372FFBC30541AA,103325380,103325380,1,2,,
AB55C96EF122927065467E2D77344B0E,124460509,124460509,5,2,,
9A28990041E957E1DE73E1EB51E78783,124267992,124267992,3,2,VALID,
6F3319848AA8AC00F4F0471A35538ACE,201353850,201353850,2,3,INVALID,1
142ABD957A2237E160A2BA5346B05EF2,212103386,212103386,5,3,,
09E9D800BEC8FFAE7272E0FA9E746A3E,210133226,210133226,5,3,,
13B365AC54F5A2C9F5D24D1DABDEF991,182728610,182728610,2,2,,
B953826E7C03DBA9FECC303E05EFB4A6,169348685,169348685,1,2,VALID,
A7FD087FE38B53092254F44F00C6A778,144477252,144477252,2,1,VALID,
076CB97597B36AD108CF1123160F2C80,151765396,151765396,1,2,,
8EB6DA748B31B99BDA0E5E4B0FD7D206,100903954,100903954,2,2,,
14F94FF56DEA9263CE955DFE8EDECEC7,139680985,139680985,2,1,VALID,
14493BC60F8D0C3909D621B8C698F6BD,196635121,196635121,1,2,,
3FA33B94288D16B893B74186D23EFE87,145291682,145291682,3,1,VALID,
3561A49B67059B2D3347425EDA8BF356,147409327,147409327,1,2,VALID,
3E996F2B276C1DFAC3CFD01B71D165B3,158034214,158034214,3,2,VALID,
5EFD23768492F513E103ED60990AB6AA,102311663,102311663,5,1,VALID,
156F4DF4F064D04FBE959EF4411DFDBF,194782489,194782489,2,2,,
B97B1E266001DDA25929ECD46AE1C072,153694917,153694917,1,2,,
117F29D9B0288B146E9AFCAC5C85984F,153821482,153821482,5,1,REDIRECT,
D00156F29AED869FCC38118916A1A50B,103108502,103108502,5,2,,
9D21230E39A81B5352090AE21C0FAA34,112387555,112387555,1,2,,
2B246D776175A7180AAD3A6DC659457C,212601676,212601676,5,2,,
88AA79FDEB0585AD1A4D71B9663F8806,156359726,156359726,1,2,,
6F9887F269A16CA5D5A926A54937AA13,115023498,115023498,5,2,,
B884058A0AA70C1D834F95D2ABEED8A4,108604991,108604991,1,2,,
30808BB66873C22C352E61FB08C40C36,108010388,108010388,1,2,VALID,
D4675F8FE3ADC3774C1E0DA8C163B002,214588905,214588905,1,3,,
84159037C5CD35B9942951E54EA017FE,133941786,133941786,1,2,,
D6149B0E61AA059900838BC9A9F92687,155485119,155485119,5,2,,
F71740ADEA1EA2FFA154DC4ECF508B4D,125976791,125976791,1,3,INVALID,1
7E5BCC7A95E602CFA8AF0DFB30DAF919,155069137,155069137,2,2,VALID,
C9312659C6AD339F1A230A96395C1B2F,206077234,206077234,5,2,,
AE2A45EEC95C0930E88C34E2CD4AF53D,108418192,108418192,1,1,VALID,
1B9B97DE0C93E921CA39A6170CF467F4,147908806,147908806,1,1,VALID,
21F0980EDD270863A5C96139755045CE,201324702,201324702,3,2,,
74DB201C5439EFEC30E18D8C3977C217,192881747,192881747,1,2,,
022AC92621603044D649AEF357FBBF12,198400250,198400250,3,2,VALID,
79B7D016B1322A09B48B8F082F1933BC,,,,,,
F294256691182DB5D5F4965F8D2CF4B5,124245880,124245880,2,2,,
1A5988C3565735AA9A7966D8115487B8,,,,,,
667166D2C0B501413EABA4BE3ABC92E6,189530597,189530597,1,2,,
1160FF9F5F2487CB0E46A7B34E756382,119659592,119659592,1,3,VALID,
5E07CCD81B094F0421E728BAE472EAFA,153848586,153848586,2,2,VALID,
14F20FB859B2B39D5BA7D4824DC08FEB,143549521,143549521,1,1,VALID,
69DF70D904114F6666B70AF1C1BD25E2,129369292,129369292,4,2,,
7144655F79D44700AA2A63B3AA6C6821,138140161,138140161,1,1,,
EC689D44BC447A6FD99A8BA4708A093C,206324277,206324277,5,2,,
05AA2B03DA41B1B9AEC2D89C086AAD29,131944469,131944469,2,3,PARKED,1
22075E91056F8B54717A7725D04426C0,147514310,147514310,2,1,,
9A550DB2EAFAFFC052AFE9D774333B74,143537046,143537046,2,3,VALID,
97E3581B40CEDC153F53D6F31FFB2C2F,150184383,150184383,2,2,,
A98C1E11E3E76276F0BB74B9903F3A8D,206168977,206168977,1,2,,
9CFED11AF30A96A5D6F77BF2AA10D2F2,157103604,157103604,1,1,VALID,
53177082B12B5D8C1C6DD94C2FC9695D,159977405,159977405,1,3,INVALID,1
5057A0CD27083BACC4367A91A4808693,124781937,124781937,1,1,VALID,
FF6EB6BE39547092AB30EA88A9830040,138813873,138813873,2,3,INVALID,1
882933FEE45B4B5A9BF58C2F506E866D,105933689,105933689,4,1,VALID,
3BD561ADFECCADA1AC313206C2E3C8F1,147576236,147576236,1,2,VALID,
3FFAEBB3240058A64021281231E0988D,138373383,138373383,2,2,VALID,
0E42F9AB174D662770F184881A54943F,108559689,108559689,1,1,VALID,
83A7B32293B310A706249EF7729DD46C,103217665,103217665,2,1,VALID,
E5E96D327D9511E3FCA155B538A2FEA3,199636461,199636461,2,2,,
D65B11BF85D28BC866B8AE7BA3F3C21B,155393546,155393546,4,2,,
6921759B9941B20162246C9B29FC8275,118681926,118681926,1,2,,
5F81846BCC2BF9382255D42BE3C7FCD0,106319042,106319042,1,2,,
1269C13E7C99D54D971E247471BFD106,169455607,169455607,2,2,VALID,
07D263E5DD66FB568ADCFFA4549934B9,115125357,115125357,2,1,,
F72A5158FCEB6ED030FBA08DB556E8A4,114785448,114785448,3,2,,
E2D115CDF42ADD40F63C477BB9DA7391,,,,,,
1238A8C1B5240F4726F29A04B863EE59,147202294,147202294,1,2,VALID,
EC6EF4FE03E6C3DF2DA3771D3F469BC0,102951538,102951538,2,2,VALID,
49F4297F5C9B9D127B336FCEA0BA0136,145641957,145641957,1,1,VALID,
12C364E5838456B2E67136963AA02D82,140610080,140610080,1,3,,
3FCB633DEA5956281A77542B3039F8C6,141874032,141874032,2,3,VALID,
4715D4F1223FF601E1B3F0D442CE833D,180020708,180020708,1,2,,
D758C305041B54EC52946884104A927C,152787197,152787197,2,1,,
53C090D7749DA8BFE853736925A3588F,171974082,171974082,3,3,VALID,
E25935FD94B9657FD28DDA733B234BF6,159654879,159654879,1,2,VALID,
DE8950A033E59BADA0460F487958CA69,136698224,136698224,1,3,VALID,
29E3C4F912BDC61C8C326A6BBC9DE2AF,101092129,101092129,1,3,PARKED,1
8BA42245FCE2B52E583CB2052ED4176E,122181534,122181534,2,2,VALID,
04C08D0C7C1B0C7FBA6BF5EC00A026C5,114769891,114769891,2,1,,
48B21908D48528AB87773C6BD3CA4E88,135505123,135505123,5,3,INVALID,1
1E7A983C940FF9F0D4D51E6CB91BA609,141054512,141054512,1,3,,
5C118D6278AFEA158401EFCF648689FF,112863911,112863911,1,3,VALID,
BEF34FEA0B5D58F05F606C98141C7BBA,122006692,122006692,1,3,,
35FD11711BE7A4E3750D19A23A8752D8,136994447,136994447,4,3,INVALID,1
7FF6199CDDDEAC816FBEA6B795E5605D,209650953,209650953,2,2,VALID,
FE230ECF4AC5652F92765312E1A1362C,147032328,147032328,1,1,VALID,
B0FB4247B34D721B462614A373A7FCF8,190844919,190844919,2,2,,
A2BDE18161443285F8B81C0C0BF6984E,201335870,201335870,1,1,,
9E7F56AA008A25046ED87C90BB63DE5F,,,,,,
4B3A10B2B90B72CC6A00E8309B94A3B3,123465485,123465485,1,2,VALID,
3709980345BCD64EBBDD6091B90BCE82,157621490,157621490,1,2,VALID,
71C0D0D273C94987AA7D4628F8EC6B7A,121530893,121530893,1,2,,
9CF32C3A692AA57A95D1852C2468E4E7,157677750,157677750,1,2,,
5A6226490A3C90C700D0956FF8B7283A,146858617,146858617,1,3,VALID,
0C3523CD5A9537A167A29DE569AE85B7,112114823,112114823,1,3,VALID,
9AA4975D70A5CAF7F996FA2A9CD8AAC4,136702323,136702323,2,3,INVALID,1
A4C51771EFA7809595CF7C2134DB1C4B,138381876,138381876,2,3,VALID,
C3AA85F14B81C69B131AD26AB190EFC6,130838240,130838240,2,1,VALID,
8E46DBAA593464AB93A651D1B9C2EC9C,149132393,149132393,2,2,VALID,
691E260050FC7EF5E789AD7E0E414241,103162132,103162132,1,2,,
011D11275ECD559C23612C2FEBA8C60E,197406450,197406450,1,2,,
10AC4F2E925B0C92ECEBE72D3467D8EB,130729271,130729271,1,3,VALID,
430F811EC82327067966C43F63E29068,214629227,214629227,1,3,,
A4D37E1EE2FA7E832FDFB2DDC1DAEBA7,148681264,148681264,2,2,,
29A0158EA1E895026D0957DCEDF9640A,,,,,,
66B077E5C7573D998F65619C15ADC556,152562417,152562417,1,3,VALID,
CC518F55D9DF96903B519EF3BEFD4E9F,154211524,154211524,2,2,,
741955BA83BD2EC7C1C56F037603EBCB,194069759,194069759,1,2,,
17D19A5EDE0B301608ACFCC57BBB05F6,133800932,133800932,2,1,VALID,
0291223BF83CB3CDE8ED291CB85CEF63,139750037,139750037,3,2,VALID,
7343F07AB431FCF959C37A870E042674,130729271,130729271,1,3,VALID,
D254A3C4A21DA0702A3194E2F0AD7A14,116924938,116924938,1,2,,
80548E23532F2121F12748F6709B4E19,129361627,129361627,1,2,,
A768CF0BF635F5D0F16BD15313916F50,183210825,183210825,1,2,,
911B09622B3A9EDEC4940DC8E2098C23,,,,,,
38F9D1964994238FBA45A3838AB33EF6,,,,,,
1E9DA9EEDDF8530E6F971EC1F9CF75A3,163345961,163345961,1,2,,
DF9ACD93722CDB0CA4B6A02403B07637,174313585,174313585,2,2,,
029CBD7389FB476B3D8CF26375696520,208730136,208730136,1,3,,
39A4A1FD048585722DCED8E51F845D1F,,,,,,
90E793F4D2B2305600DA9FED599C82DF,199486636,199486636,1,2,,
5114BC07E5562B91A123F9630F0E4152,,,,,,
91979942C9483D4702F39EF0DF2ECB63,149872088,149872088,1,3,VALID,
2F2850CB1230DFCAF8D24DE2AE048668,118887718,118887718,1,3,VALID,
1C1E70B22A3DD0C93061592DDDB1BCD5,193941714,193941714,2,2,,
993D8C3B8A304FC447BBD980FDB0BDDA,200929834,200929834,2,2,,
588B703E7A9B942DBBABF0C69167FFC1,157241009,157241009,1,1,,
AF922F880274D69B714022417BE5B907,131217753,131217753,1,2,,
A8AEC8C024899981C1C2FCD939D68D98,164489349,164489349,1,2,,
478FF5BF89B84450F431C4026C225A2A,108821660,108821660,2,1,,
ED469A463CDC171D140D3913ED447F45,181185682,181185682,1,3,,
7943CB49923DBBE0DD27F018F95283CA,155928301,155928301,1,1,,
FEF7546D53822B5D7C6BCC614CFAD436,141422215,141422215,1,2,,
550B17F7B2D6A8470D19236E44112530,159412229,159412229,2,3,PARKED,1
84484531440D37BEAE1AA844ED8C6602,146033608,146033608,2,2,REDIRECT,
0A72FB07B9679A71DB90329ECE4EB914,145356097,145356097,1,2,VALID,
1A8D8DD5EE58B2D648A3877D60B3C5A6,135013889,135013889,1,2,,
BC2B9BE1AD0622C14CE01B973DFFDCEB,,,,,,
DBAF182B38489A06B859417916999AFC,,,,,,
47C7775C9EE6087B72E05970DCA0BBC2,128603642,128603642,2,1,VALID,
35C7089C28FA69AEB0299BB767FEA935,177172197,177172197,1,2,,
DC410FC95DF747B19928157D1387A8A6,121124993,121124993,2,1,,
1CD7B6094ADA322CFFBC8D177D1793B9,144212564,144212564,1,1,,
6FE063632802240AE364321A0625E42A,211740533,211740533,2,2,,
DD608FBD64384F8A3699AB134A9A89AD,159604360,159604360,1,1,,
B08FCDE6F340846D3503FE466C9A542B,145964913,145964913,1,1,,
CF8EC62D7581F8E2BE6C0537ADEC044B,115611569,115611569,5,2,VALID,
594FD95F6A9DA514A7AC76F82F9B48E8,133817229,133817229,5,2,,
E4AA4C36EC5114D8A4C83A27073E7EC3,111812248,111812248,5,1,,
930F0BD24C3318FB4AB45433CA9C2B3E,161957554,161957554,2,1,,
243EB3A37769B02E5B7E55E7CACAFE08,123397378,123397378,5,1,,
556D9C6517911A72A1838B895741D674,107182338,107182338,5,2,VALID,
A7BDAF5DAC387BAA4AEB4F6D534877F5,150977872,150977872,1,2,,
7A15848BE011DA0EB393E64CF77EFB7B,126429755,126429755,1,3,,
D7781A59632196942C12CDA78C43F417,139650700,139650700,1,3,PARKED,1
76937ED377FC3E1AA539BABEC6BE497D,156064044,156064044,1,3,VALID,
E3D31A23AD0A94D455F0F8CC9EBB9FC4,198532647,198532647,1,2,,
A0561EA2A8A7CF8C21F3E286F72176E6,184505655,184505655,2,2,,
C0FE72FB20C8A6DE91E55EBBE69FB93F,113693198,113693198,1,1,VALID,
C4D756AD975A0E3B3E335E6F3C70DBF9,153939571,153939571,1,2,,
D902B6DC2F19A3D99F7E18DFE1AF6E3D,185077564,185077564,2,2,,
EF7364A1E286BCC9287E06D4F5A5D505,131443071,131443071,2,3,VALID,
272C41E2B361A8F9A003115087FF0B87,137372267,137372267,1,2,,
EB017E70F0D3BA4606EEC31A20F35EF2,144347510,144347510,1,1,VALID,
92827007588B7E5CF6AD0DFEA0D87CEA,179996458,179996458,2,2,,
AB39F02F3CC3C9AE3FBFF0802130ECB4,125893898,125893898,2,1,,
45A3AC7A57A967169CB70C5E32977DF2,147974938,147974938,2,2,VALID,
7922F05AC85813137A21667443D84D26,209971465,209971465,5,3,,
5BCDA8188431ED312DB0645EA78D0FF0,163476819,163476819,1,1,VALID,
56FA2016B45896706DEE21C6FEB89757,123765427,123765427,1,3,VALID,
12D902AF4B14EDCFCD9210439CDAE364,209306228,209306228,3,3,,
49930FB880661E0F81BBCD261AC1DBEB,212871945,212871945,1,3,,
F4FCCCA4A1E6E6479295F28CF4271E54,111216382,111216382,5,1,,
A55753B1FFC7D6FE950E2ED4B6D6740E,158442800,158442800,2,3,,
8C6B1EB20F01E114B212CCDF69159074,158379698,158379698,2,2,,
08E3C45BA596155A2281453FD29550A6,109804400,109804400,2,1,VALID,
9D0059F3F125D60147ED10D51027AEBD,192997891,192997891,2,2,,
F207BF1CDF983201CD9C4F3FDAF46A48,136278084,136278084,2,2,VALID,
F5CAAC5FB94C100D9D03774F9B057296,,,,,,
291E91B1217FCC8D4DF4627C22EC7850,154412629,154412629,1,2,,
3E7D50833B363BE85329B39AA6B91362,102179133,102179133,3,2,,
116F3A298FB8113D8D6A8EE6D8AD1145,104123835,104123835,1,2,,
85D1B2B18B3A3B0BE9A209D947BD94F6,205866869,205866869,1,1,,
7B582A6A9E3B31CB376D33950C7FAFAF,159682952,159682952,4,2,,
AA9543D68EAE35BFDD854883E1BA94A5,142594618,142594618,5,3,INVALID,1
4E3E98DBE6A6A0C0BA61B6E530FAD246,184255733,184255733,1,2,,
6AFCEFF68BDA2B02D8226D6AA44FA38E,193232781,193232781,1,1,,
059F62FAB320EF148EE598B859BD74C4,174598944,174598944,1,2,,
A87FE43AEAD895F0C141A5F72172E41F,178911440,178911440,2,2,,
19DB4FCA04D46D1EA613F85C993AE462,157939557,157939557,2,2,,
E04DD7B72ED647A62DFA9B1F1F45D073,144223853,144223853,5,2,,
89CE1A9F01A5953837B7EEA4EFCEBFC2,173524370,173524370,1,2,VALID,
6B422C096D76852C2C50414E451183EC,201745828,201745828,1,3,,
0CFEC9063788B80D00EF997B838174CC,113904524,113904524,1,2,VALID,
60B17BCB17A90DE7E2646D4B4EBF5BF2,142404566,142404566,2,1,VALID,
5F1823057285FF572DF5BA9A93E49B05,126234943,126234943,1,1,,
922E85EDE63B78121258C478B2B727AF,113328812,113328812,1,2,,
383DB910960DBA02C50D0CA0F937B2E6,159429315,159429315,2,2,VALID,
FF0899931666256C7926963FC6DE7BDC,160422434,160422434,2,3,PARKED,1
885FA7785DEEA15939D689BFBD64E677,137782097,137782097,2,2,,
C2134C6252DA0B83D1B80DC30177810A,120471174,120471174,1,2,,
A0338AB367A1C101BEC05B712157EA93,107139858,107139858,2,2,VALID,
7E4812A910E8912BAD102B0A60D1988D,186048464,186048464,1,2,,
E68CC033E7CE259B5333CDD2546B1E28,107609209,107609209,1,2,,
4D89BD3296CF13DBCF45F82B3E067D31,181323606,181323606,2,2,,
2CA24051183B38DCF71BC3D5E3402A9A,204453142,204453142,1,2,,
6350962EB2F8D73149AB49F4D7F9E369,106888158,106888158,1,1,,
D876BF0E31D9F901E8D6D427C04A0052,141744092,141744092,5,2,,
1E86273AFB5DEA3AF406C55142936CA2,154315329,154315329,1,3,,
41CE6553E60D2CF732BE01ED417C980B,112696517,112696517,1,1,,
9031BCE38E376B42A3ACA93436FED4D8,172810630,172810630,3,3,VALID,
0D5ACD04F8BC97D3D525891A7779D626,111957363,111957363,1,1,VALID,
C196687683029BBDD3BF57B8EB874C54,131551963,131551963,1,3,INVALID,1
55382E1F41B1C1B03D46B4F3196B1B8C,145114337,145114337,2,2,VALID,
5D9CC994F7A5017243042A7657EC724F,100256724,100256724,1,1,,
76601FDB8EC3B62CBED1852B7DDD8C99,192036465,192036465,2,2,,
A8093A9673B0FD8B8DF99A2320CB2F74,131487555,131487555,2,1,VALID,
0165F9E28AC9CE120E02A16803708EBD,123542213,123542213,1,1,,
AA0D3CC08B7BEE4B287B3A1E66DAF829,137474827,137474827,2,2,VALID,
D99252E00C5592D7E89555A776F0F316,157716197,157716197,2,2,,
1C268D10C6BA4FF0B6F5EAAEB400F65A,117698864,117698864,2,2,VALID,
1D08DEE931358BA5E5152B3916B669FE,182640839,182640839,3,1,VALID,
4EFD96888615FC0035E4637BC4CF3E49,204648747,204648747,1,1,,
1E8A4055D3043D987DB9F1F847EACBEA,110975531,110975531,2,2,,
4E7F7AE38E6B0580DCCBE401F22840B2,115662546,115662546,1,1,VALID,
A32B715FA349AEA3A2847B59E3A3A14F,187074623,187074623,1,1,VALID,
B35AEFB69204EF2241AA80AA5B96E3A8,131130786,131130786,1,3,REDIRECT,
309EEFAC70DD068C4D3BC10B72D3E421,153041716,153041716,2,3,REDIRECT,
1662DF78003C7AE1EC803C1C2D269273,205268580,205268580,2,2,,
88E7F3D653B6FFD45F083DA245213307,159093212,159093212,1,1,VALID,
77BF4A7673166DAD4E50B7DAEB44CBC3,197757354,197757354,2,2,,
787DC39B68839E06F8A841EA344FEFC9,193530636,193530636,2,2,,
E01E6490B6E99DE0C8BE4AC6687079E1,189291027,189291027,5,1,,
42FEACD6D0E293DDD0092268A9ACD26C,134507815,134507815,3,2,VALID,
F1004B66A8453EFE5623ADE92DA41547,159794251,159794251,5,1,,
91CB05B8F0D3E0706F5CE5C24C053F9F,143969598,143969598,1,2,VALID,
F0C53C9081530D4629E80761FE5CF143,133671382,133671382,1,3,INVALID,1
FD04B01E6B147ABF00864A98EA91E448,102088711,102088711,3,3,,
D67DDEDFF21E0ED4CF160BAABA41FDEE,131101977,131101977,1,1,VALID,
A016B2D0FE17D1CB9EFEF02222F70939,150004128,150004128,1,3,INVALID,1
FEEDC9EEAB8FA5AA8EF6CB53A0B56789,166369844,166369844,1,3,VALID,
BA31773ED4936CD3ED2485605CD03346,103091279,103091279,4,2,,
D5904894CFAE7059E1722DDD284A30A8,139639036,139639036,5,3,,
6A5E8389FF8BDFC959E78E5860DB756E,106930308,106930308,2,3,INVALID,1
4C09379E686725E8286ECBD91E3082A7,118777939,118777939,5,2,VALID,
